what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338693761067
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338693761067
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338693761067
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338693761067
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338693761067
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338693761067
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338693761067
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338693761067
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1338693761077
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1338693761077
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1338693761077
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1338693761077
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338693761077
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1338693761077
os,sysinfo,,,"win32",1338693761077
arch,sysinfo,,,"x86_64",1338693761077
ws,sysinfo,,,"win32",1338693761077
locale,sysinfo,,,"en_US",1338693761077
processors,sysinfo,,,"4",1338693761077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338693761077
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1338693761077
java.specification.name,sysinfo,,,"Java Platform API Specification",1338693761077
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338693761077
java.specification.version,sysinfo,,,"1.6",1338693761077
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338693761077
java.version,sysinfo,,,"1.6.0_32",1338693761077
java.vm.info,sysinfo,,,"mixed mode",1338693761077
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338693761077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338693761077
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338693761077
java.vm.specification.version,sysinfo,,,"1.0",1338693761077
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338693761077
java.vm.version,sysinfo,,,"20.7-b02",1338693761077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338694351863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338694356442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338694359055
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338694359235
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338694359465
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338694359475
